Dimension,NNZ_per_row,Sparsity,Raw_Time
811,82,0.1,0.00426145,
812,82,0.1,0.00426918,
813,82,0.1,0.00429548,
814,82,0.1,0.00426708,
815,82,0.1,0.00431538,
816,82,0.1,0.00428976,
817,82,0.1,0.0042782,
818,82,0.1,0.00427414,
819,82,0.1,0.00428662,
820,82,0.1,0.00426706,
821,83,0.1,0.00440716,
822,83,0.1,0.00440462,
823,83,0.1,0.00440653,
824,83,0.1,0.00441814,
825,83,0.1,0.00442721,
826,83,0.1,0.00446621,
827,83,0.1,0.0044401,
828,83,0.1,0.00445083,
829,83,0.1,0.00444737,
830,83,0.1,0.00446108,
831,84,0.1,0.00455178,
832,84,0.1,0.00459392,
833,84,0.1,0.00456761,
834,84,0.1,0.00455531,
835,84,0.1,0.00457281,
836,84,0.1,0.00459741,
837,84,0.1,0.004656,
838,84,0.1,0.00456946,
839,84,0.1,0.00462009,
840,84,0.1,0.00476864,
841,85,0.1,0.00469888,
842,85,0.1,0.00473235,
843,85,0.1,0.00473306,
844,85,0.1,0.00473286,
845,85,0.1,0.00473224,
846,85,0.1,0.0047499,
847,85,0.1,0.0050446,
848,85,0.1,0.00474145,
849,85,0.1,0.00735113,
850,85,0.1,0.00476573,
851,86,0.1,0.00490032,
852,86,0.1,0.00509277,
853,86,0.1,0.00490161,
854,86,0.1,0.00490042,
855,86,0.1,0.00490612,
856,86,0.1,0.00496576,
857,86,0.1,0.00499847,
858,86,0.1,0.00507993,
859,86,0.1,0.00491174,
860,86,0.1,0.00494081,
861,87,0.1,0.00560035,
862,87,0.1,0.0054374,
863,87,0.1,0.00506024,
864,87,0.1,0.00512818,
865,87,0.1,0.00512177,
866,87,0.1,0.00534236,
867,87,0.1,0.00509259,
868,87,0.1,0.00507991,
869,87,0.1,0.00507846,
870,87,0.1,0.00538899,
871,88,0.1,0.00523278,
872,88,0.1,0.0053159,
873,88,0.1,0.00523097,
874,88,0.1,0.00525238,
875,88,0.1,0.00547937,
876,88,0.1,0.00526291,
877,88,0.1,0.00524952,
878,88,0.1,0.00525771,
879,88,0.1,0.00525941,
880,88,0.1,0.00525498,
881,89,0.1,0.00560493,
882,89,0.1,0.00538887,
883,89,0.1,0.005387,
884,89,0.1,0.0054207,
885,89,0.1,0.00539314,
886,89,0.1,0.00545152,
887,89,0.1,0.00603417,
888,89,0.1,0.00548454,
889,89,0.1,0.00545674,
890,89,0.1,0.00542807,
891,90,0.1,0.00556585,
892,90,0.1,0.00557736,
893,90,0.1,0.00558291,
894,90,0.1,0.00557123,
895,90,0.1,0.00559014,
896,90,0.1,0.0055978,
897,90,0.1,0.00559867,
898,90,0.1,0.00559592,
899,90,0.1,0.00562119,
900,90,0.1,0.00562179,
901,91,0.1,0.00575277,
902,91,0.1,0.00576193,
903,91,0.1,0.00578354,
904,91,0.1,0.00575407,
905,91,0.1,0.00574728,
906,91,0.1,0.00577366,
