Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14,Unzipper_Time24,Unzipper_Time25,Unzipper_Time33,Unzipper_Time34,Unzipper_Time35
162,10,25,8.9565e-05,8.7081e-05,9.1394e-05,0.000177583,0.000165502,8.6966e-05,0.000525084,0.000732974,0.00109921,0.000109006,0.000149042
207,10,25,0.000172639,0.000315712,0.000173997,0.000172492,0.00017295,0.000168227,0.00133904,0.00116412,0.00219426,0.000371271,0.000223851
264,10,25,0.000341774,0.000587162,0.000346773,0.000341365,0.000332495,0.000331348,0.00250709,0.00231652,0.00440184,0.000450048,0.000439821
336,10,25,0.000689589,0.000687009,0.000683161,0.000668268,0.000660435,0.000650782,0.00433408,0.00430289,0.00872796,0.000852535,0.00131541
428,10,25,0.00133765,0.00128033,0.00134661,0.00131998,0.0012907,0.00129619,0.00864345,0.00836358,0.0175903,0.00165449,0.00162803
546,10,25,0.00277549,0.00296907,0.00277024,0.00270114,0.00282387,0.0029261,0.01779,0.0171787,0.0352038,0.00333724,0.00376385
695,10,25,0.00570688,0.00560115,0.00564118,0.0054684,0.00542309,0.00547943,0.0340275,0.0339149,0.073343,0.00661396,0.00646246
886,10,25,0.0114812,0.0110022,0.0114756,0.01112,0.0110436,0.011214,0.0701126,0.0682656,0.146605,0.0133007,0.0134602
1129,10,25,0.0235729,0.022658,0.0237434,0.0228111,0.0231201,0.0230588,0.14015,0.136401,0.297982,0.0275589,0.0260577
1438,10,25,0.0483714,0.04672,0.0483403,0.0469852,0.0466831,0.0477799,0.278113,0.277532,0.612877,0.0559688,0.0553222
1833,10,25,0.100943,0.0980358,0.102974,0.0971273,0.0972027,0.100917,0.568738,0.572879,1.25746,0.113204,0.111983
2336,10,25,0.212937,0.200734,0.212741,0.199313,0.199981,0.210764,1.14819,1.15133,2.5377,0.226751,0.220228
2976,10,25,0.44032,0.414274,0.44191,0.411574,0.41263,0.436751,2.34224,2.36355,5.21899,0.470353,0.452136
3793,10,25,0.909765,0.860075,0.915242,0.853555,0.855425,0.906975,4.90878,4.99658,11.0471,1.00292,0.950138
