Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14
1129,25,50,0.0983336,0.0954659,0.0990493,0.095889,0.0962899,0.0976876,
1438,25,50,0.207964,0.196925,0.207125,0.197043,0.198721,0.20421,
1833,25,50,0.432711,0.4068,0.432267,0.406555,0.409143,0.427741,
2336,25,50,0.891955,0.838155,0.892713,0.854645,0.862598,0.897134,
2976,25,50,1.87266,1.77007,1.88073,1.76769,1.77617,1.86139,
3793,25,50,4.02998,3.66344,4.04731,3.65994,3.68702,4.01094,
4833,25,50,8.50524,7.57268,8.48768,7.55884,7.59129,8.43982,
6158,25,50,17.8621,15.6319,17.8667,15.613,15.4136,17.7522,
7848,25,50,36.669,31.9604,37.2973,32.2977,32.4677,37.1982,
10000,25,50,77.1445,66.9765,76.9789,66.9088,67.2198,76.6618,
100,50,5,6.4796e-05,2.8708e-05,5.4421e-05,3.4602e-05,2.7192e-05,6.0857e-05,
127,50,5,8.0181e-05,7.8312e-05,8.9442e-05,7.0557e-05,5.4544e-05,0.000105961,
162,50,5,0.000152649,0.000110392,0.000171346,0.00012698,0.000107648,0.000189139,
207,50,5,0.000292007,0.000294429,0.000323313,0.000236698,0.000291944,0.000507045,
264,50,5,0.000525613,0.000412506,0.000578941,0.000656747,0.00039925,0.000631322,
336,50,5,0.000954546,0.00080422,0.00105269,0.00114439,0.000759085,0.00147983,
428,50,5,0.00212796,0.00191928,0.0022839,0.00217223,0.00200322,0.00212797,
546,50,5,0.00409724,0.0039574,0.00432592,0.00421069,0.00405288,0.00449523,
695,50,5,0.00776133,0.00760817,0.00869776,0.00851946,0.00799829,0.00794292,
886,50,5,0.0167455,0.0155641,0.0170486,0.0162855,0.0158641,0.0152452,
1129,50,5,0.0316965,0.0309808,0.0324706,0.0310946,0.0314685,0.031221,
1438,50,5,0.0618374,0.0631425,0.063022,0.0632761,0.060441,0.0614267,
1833,50,5,0.124063,0.124904,0.12911,0.126319,0.123539,0.12344,
2336,50,5,0.250101,0.250926,0.254396,0.247502,0.248154,0.248545,
2976,50,5,0.505246,0.502595,0.517671,0.502772,0.500407,0.511189,
3793,50,5,1.04231,1.01662,1.05609,1.01716,1.00855,1.0427,
4833,50,5,2.14063,2.06879,2.16465,2.07004,2.06038,2.14519,
6158,50,5,4.38485,4.24793,4.42158,4.22498,4.21193,4.38887,
7848,50,5,8.97386,8.70855,9.0753,8.66969,8.65396,8.98393,
10000,50,5,18.8963,17.8621,19.0882,17.8016,17.8167,18.9082,
100,50,10,6.5411e-05,4.9294e-05,0.000162773,5.6729e-05,4.7795e-05,9.5304e-05,
127,50,10,0.000121235,9.5112e-05,0.000132153,0.000109894,0.000148154,0.000140251,
162,50,10,0.000224764,0.00022383,0.000248729,0.000239835,0.000187256,0.000442513,
207,50,10,0.000493746,0.0004446,0.000525103,0.000493351,0.000372319,0.000482914,
264,50,10,0.000941801,0.000891975,0.00127891,0.000937153,0.000893141,0.000908854,
336,50,10,0.00177843,0.00172932,0.00184425,0.00228308,0.00175572,0.00173502,
